Temperature (K),Thermal Conductivity (W/m-K)
504.47761,25.29194
525.37313,25.67983
552.23881,25.82104
573.13433,26.19326
600,26.13864
623.8806,26.31507
650.74627,26.32311
671.64179,26.4251
700,26.27258
723.8806,26.34327
750.74627,26.25732
771.64179,26.22615
801.49254,26.04623
820.89552,26.0268
850.74627,25.92129
874.62687,25.89797
901.49254,25.55354
925.37313,25.58897
973.13433,25.36219
976.1194,25.31913
976.1194,25.22122
952.23881,25.14662
1022.38806,24.94743
1002.98507,24.70055
1049.25373,24.83798
1073.13433,25.10841
1100,25.4141
1117.91045,25.53565
1144.77612,25.96275
1171.64179,26.24886
1194.02985,26.66027
